Search keyword report
All time
Keyword status,Keyword,Match type,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Enabled,"""laser treatment for age spots""",Phrase match,Eligible,,0.00,USD,0.00,,2,14,14.29%,0.38,0.77,0.00%
Enabled,"""laser brightening treatment""",Phrase match,Eligible,,1.00,USD,1.92,,1,5,20.00%,1.92,1.92,100.00%
Enabled,"""treatments for hyperpigmentation""",Phrase match,Eligible,,0.00,USD,0.00,,5,45,11.11%,1.56,7.79,0.00%
Enabled,"""hyper pigmentation treatment""",Phrase match,Eligible,,0.00,USD,0.00,,5,57,8.77%,0.92,4.60,0.00%
Enabled,"""treatment for discoloration of skin""",Phrase match,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""bikini hyperpigmentation""",Phrase match,Limited,low quality,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""how to get rid of dark marks on neck""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""dark blotch on face""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""hyperpigmentation treatment before and after""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""hyperpigmentation won t go away""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""what helps lighten hyperpigmentation""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""underarm peeling""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""pigmentation kit for face""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""patchy hyperpigmentation""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""knee pigmentation removal""",Phrase match,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""which facial gives instant glow""",Phrase match,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""bleach skin""",Phrase match,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""how to remove pigmentation from face permanently in a week""",Phrase match,Eligible,,0.00,USD,0.00,,1,8,12.50%,1.42,1.42,0.00%
Enabled,"""for pigmentation""",Phrase match,Limited,low quality,1.00,USD,12.81,,6,22,27.27%,2.14,12.81,16.67%
Enabled,"""dark skin above lip""",Phrase match,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""lip pigmentation treatment uk""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""chemical peels for hyperpigmentation""",Phrase match,Limited,low quality,0.00,USD,0.00,,1,9,11.11%,1.37,1.37,0.00%
Enabled,"""can pigmentation be cured permanently""",Phrase match,Eligible,,0.00,USD,0.00,,0,3,0.00%,0,0.00,0.00%
Enabled,"""removing hyperpigmentation""",Phrase match,Eligible,,0.00,USD,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""hyperpigmentation around mouth""",Phrase match,Limited,low quality,0.00,USD,0.00,,0,26,0.00%,0,0.00,0.00%
Enabled,"""pigmentation correction treatment""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""how to heal melasma""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""dark patches on face female treatment""",Phrase match,Eligible,,0.00,USD,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""best products for hyperpigmentation""",Phrase match,Eligible,,1.00,USD,8.32,,6,106,5.66%,1.39,8.32,16.67%
